spn\alliance\alderaan\broonmark\motorcade_speeder.spn_p,art\static\area\hth_hoth\vehicle\hth_veh_neu_speeder_02.gr2
spn\alliance\alderaan\broonmark\motorcade_speeder_crash_site.spn_p,dyn\alliance\alderaan\broonmark\motorcade_speeder_crash_site.dyn
spn\alliance\alderaan\broonmark\wookie_bodyguard_weapon.spn_p,dyn\alliance\alderaan\broonmark\wookie_bowcaster.dyn
spn\alliance\alderaan\lokin\probe_deploy_marker.spn_p,dyn\alliance\alderaan\lokin\probe_deploy_marker.dyn
spn\alliance\alderaan\lokin\probe_deploy_marker_1.spn_p,dyn\alliance\alderaan\lokin\probe_deploy_marker.dyn
spn\alliance\alderaan\lokin\probe_deploy_marker_2.spn_p,dyn\alliance\alderaan\lokin\probe_deploy_marker.dyn
spn\alliance\alderaan\lokin\probe_deploy_marker_3.spn_p,dyn\alliance\alderaan\lokin\probe_deploy_marker.dyn
spn\alliance\alderaan\lokin\probe_deploy_marker_4.spn_p,dyn\alliance\alderaan\lokin\probe_deploy_marker.dyn
spn\alliance\alderaan\lokin\probe_deploy_marker_5_bonus.spn_p,dyn\alliance\alderaan\lokin\probe_deploy_marker.dyn
spn\alliance\alderaan\lokin\tatooine_probe_deploy_fx.spn_p,dyn\alliance\alderaan\lokin\tatooine_probe_deploy_fx.dyn
spn\alliance\alderaan\lokin\tatooine_probe_deploy_marker.spn_p,dyn\alliance\alderaan\lokin\probe_deploy_marker.dyn
spn\alliance\alderaan\lokin\tatooine_recovered_specimen.spn_p,dyn\alliance\alderaan\lokin\tatooine_recovered_specimen.dyn
spn\alliance\allied_opinions\conference_room_holo.spn_p,dyn\alliance\allied_opinions\conference_room_holo.dynmag
spn\alliance\camp\adon\ship.spn_p,dyn\alliance\camp\adon\ship.dyn
spn\alliance\camp\andronikos\brig_door.spn_p,dyn\alliance\camp\andronikos\brig_door.dyn
spn\alliance\camp\andronikos\shuttle_panel.spn_p,dyn\generic\tech\controlpanel_wall_02.dyn
spn\alliance\camp\banners\alliance_cantina_bar_banner.spn_p,dyn\alliance\camp\banners\cantina_bar_banner.dyn
spn\alliance\camp\banners\alliance_cantina_lounge_banner.spn_p,dyn\alliance\camp\banners\cantina_lounge_banner.dyn
spn\alliance\camp\banners\alliance_cantina_stage_banner.spn_p,dyn\alliance\camp\banners\cantina_stage_banner.dyn
spn\alliance\camp\banners\alliance_conference_door_banner.spn_p,dyn\alliance\camp\banners\conference_door_banner.dyn
spn\alliance\camp\banners\alliance_conference_window_banner.spn_p,dyn\alliance\camp\banners\conference_window_banner.dyn
spn\alliance\camp\banners\alliance_full_size.spn_p,dyn\alliance\camp\banners\alliance_banner_full_size.dyn
spn\alliance\camp\banners\alliance_half_size.spn_p,dyn\alliance\camp\banners\alliance_banner_half_size.dyn
spn\alliance\camp\banners\alliance_jedi_enclave_banner.spn_p,dyn\alliance\camp\banners\jedi_enclave_banner.dyn
spn\alliance\camp\banners\alliance_lab_banner.spn_p,dyn\alliance\camp\banners\lab_banner.dyn
spn\alliance\camp\banners\alliance_quarters_banner.spn_p,dyn\alliance\camp\banners\quarters_banner.dyn
spn\alliance\camp\banners\alliance_underworld_logistics_banner.spn_p,dyn\alliance\camp\banners\underworld_logistics_banner.dyn
spn\alliance\camp\banners\hand_of_empire_banner.spn_p,dyn\alliance\camp\banners\imperial_banners.dyn
spn\alliance\camp\banners\hand_of_empire_cantina_bar_banner.spn_p,dyn\alliance\camp\banners\cantina_bar_banner.dyn
spn\alliance\camp\banners\hand_of_empire_cantina_lounge_banner.spn_p,dyn\alliance\camp\banners\cantina_lounge_banner.dyn
spn\alliance\camp\banners\hand_of_empire_cantina_stage_banner.spn_p,dyn\alliance\camp\banners\cantina_stage_banner.dyn
spn\alliance\camp\banners\hand_of_empire_conference_door_banner.spn_p,dyn\alliance\camp\banners\conference_door_banner.dyn
spn\alliance\camp\banners\hand_of_empire_conference_window_banner.spn_p,dyn\alliance\camp\banners\conference_window_banner.dyn
spn\alliance\camp\banners\hand_of_empire_full_size.spn_p,dyn\alliance\camp\banners\alliance_banner_full_size.dyn
spn\alliance\camp\banners\hand_of_empire_half_size.spn_p,dyn\alliance\camp\banners\alliance_banner_half_size.dyn
spn\alliance\camp\banners\hand_of_empire_jedi_enclave_banner.spn_p,dyn\alliance\camp\banners\jedi_enclave_banner.dyn
spn\alliance\camp\banners\hand_of_empire_lab_banner.spn_p,dyn\alliance\camp\banners\lab_banner.dyn
spn\alliance\camp\banners\hand_of_empire_quarters_banner.spn_p,dyn\alliance\camp\banners\quarters_banner.dyn
spn\alliance\camp\banners\hand_of_empire_underworld_logistics_banner.spn_p,dyn\alliance\camp\banners\underworld_logistics_banner.dyn
spn\alliance\camp\banners\imperial_alliance_banner.spn_p,dyn\alliance\camp\banners\imperial_banners.dyn
spn\alliance\camp\banners\imperial_banner.spn_p,dyn\alliance\camp\banners\imperial_banners.dyn
spn\alliance\camp\banners\republic_alliance_banner.spn_p,dyn\alliance\camp\banners\republic_banners.dyn
spn\alliance\camp\banners\republic_banner.spn_p,dyn\alliance\camp\banners\republic_banners.dyn
spn\alliance\camp\banners\task_force_nova_banner.spn_p,dyn\alliance\camp\banners\republic_banners.dyn
spn\alliance\camp\banners\task_force_nova_cantina_bar_banner.spn_p,dyn\alliance\camp\banners\cantina_bar_banner.dyn
spn\alliance\camp\banners\task_force_nova_cantina_lounge_banner.spn_p,dyn\alliance\camp\banners\cantina_lounge_banner.dyn
spn\alliance\camp\banners\task_force_nova_cantina_stage_banner.spn_p,dyn\alliance\camp\banners\cantina_stage_banner.dyn
spn\alliance\camp\banners\task_force_nova_conference_door_banner.spn_p,dyn\alliance\camp\banners\conference_door_banner.dyn
spn\alliance\camp\banners\task_force_nova_conference_window_banner.spn_p,dyn\alliance\camp\banners\conference_window_banner.dyn
spn\alliance\camp\banners\task_force_nova_full_size.spn_p,dyn\alliance\camp\banners\alliance_banner_full_size.dyn
spn\alliance\camp\banners\task_force_nova_half_size.spn_p,dyn\alliance\camp\banners\alliance_banner_half_size.dyn
spn\alliance\camp\banners\task_force_nova_jedi_enclave_banner.spn_p,dyn\alliance\camp\banners\jedi_enclave_banner.dyn
spn\alliance\camp\banners\task_force_nova_lab_banner.spn_p,dyn\alliance\camp\banners\lab_banner.dyn
spn\alliance\camp\banners\task_force_nova_quarters_banner.spn_p,dyn\alliance\camp\banners\quarters_banner.dyn
spn\alliance\camp\banners\task_force_nova_underworld_logistics_banner.spn_p,dyn\alliance\camp\banners\underworld_logistics_banner.dyn
spn\alliance\camp\commanders_room\advisor_reward_datapad.spn_p,dyn\generic\tech\datapad.dyn
spn\alliance\camp\corso_risha\head_in_jar.spn_p,dyn\alliance\camp\corso_risha\bandon_head_fake.dyn
spn\alliance\camp\corso_risha\murustavan_fake.spn_p,dyn\alliance\camp\corso_risha\murustavan_fake.dyn
spn\alliance\camp\corso_risha\toy_ship.spn_p,dyn\alliance\camp\corso_risha\toy_smuggler_ship.dyn
spn\alliance\camp\heroic_weekly\mission_board_imp.spn_p,art\static\area\all_all\item\tech\all_item_tech_imp_comp_terminal.gr2
spn\alliance\camp\heroic_weekly\mission_board_rep.spn_p,art\static\area\all_all\item\tech\all_item_tech_rep_comp_terminal.gr2
spn\alliance\camp\military\rakcaddy.spn_p,dyn\alliance\camp\military\rakcaddy.dyn
spn\alliance\camp\military\rakcaddy_ris.spn_p,dyn\alliance\camp\military\rakcaddy.dyn
spn\alliance\camp\military\rakcaddy_transit.spn_p,dyn\alliance\camp\military\rakcaddy.dyn
spn\alliance\camp\military\thranta_treat.spn_p,dyn\alliance\camp\military\thranta_treat.dyn
spn\alliance\camp\military\thranta_treat_ris.spn_p,dyn\alliance\camp\military\thranta_treat.dyn
spn\alliance\camp\misc\hk_55\plc_artistic_decor_a.spn_p,dyn\alliance\camp\research\hk55_artistic_decor.dyn
spn\alliance\camp\misc\hk_55\plc_artistic_decor_b.spn_p,dyn\alliance\camp\research\hk55_artistic_decor.dyn
spn\alliance\camp\misc\hk_55\plc_artistic_decor_c.spn_p,dyn\alliance\camp\research\hk55_artistic_decor.dyn
spn\alliance\camp\misc\hk_55\plc_barrel_chemical.spn_p,dyn\alliance\camp\research\hk55_chemical_barrel.dyn
spn\alliance\camp\misc\hk_55\plc_barrel_explosive.spn_p,dyn\alliance\camp\research\hk55_explosive_barrel.dyn
spn\alliance\camp\misc\hk_55\plc_lab_equipment.spn_p,dyn\alliance\camp\research\hk55_lab_equipment.dyn
spn\alliance\camp\misc\hk_55\plc_munitions.spn_p,dyn\alliance\camp\research\hk55_munitions.dyn
spn\alliance\camp\misc\hk_55\plc_side_door.spn_p,dyn\alliance\camp\research\hk55_prototype_lab_door.dyn
spn\alliance\camp\misc\hk_55\plc_vehicle.spn_p,dyn\alliance\camp\research\hk55_vehicles.dyn
spn\alliance\camp\misc\hk_55\target_range_console.spn_p,art\static\area\all_all\item\republic\all_item_rep_desk_computer_01.gr2
spn\alliance\camp\observers\conversation_starter.spn_p,art\static\designblockout\DesignUtility\dbo_utility_flag_blue.gr2
spn\alliance\camp\observers\observers_camp_off.spn_p,dyn\alliance\camp\observers\observers_camp.dyn
spn\alliance\camp\observers\observers_camp_on.spn_p,dyn\alliance\camp\observers\observers_camp.dyn
spn\alliance\camp\observers\observers_camp_on_start_conversation.spn_p,dyn\alliance\camp\observers\observers_camp.dyn
spn\alliance\camp\observers\window.spn_p,dyn\alliance\camp\observers\window.dyn
spn\alliance\camp\research\droid_control_datapad.spn_p,art\static\area\all_all\item\tech\all_item_tech_med_scanner.gr2
spn\alliance\camp\research\research_lab_elevator.spn_p,dyn\generic\wonkavator\wonkavator_green_interactive.dyn
spn\alliance\camp\research\talos_ancient_coffer_and_tablets.spn_p,dyn\alliance\camp\research\talos_coffer_and_tablets.dyn
spn\alliance\camp\research\talos_datacrons.spn_p,dyn\alliance\camp\research\talos_datacrons.dyn
spn\alliance\camp\research\talos_dormant_holocrons.spn_p,dyn\alliance\camp\research\talos_dormant_holocrons.dyn
spn\alliance\camp\research\talos_dormant_holocron_3.spn_p,dyn\alliance\camp\research\talos_dormant_holocrons.dyn
spn\alliance\camp\research\talos_focus_runes.spn_p,dyn\alliance\camp\research\talos_focus_runes.dyn
spn\alliance\camp\shae\shae_helmet.spn_p,dyn\alliance\camp\shae\shae_helmet.dyn
spn\alliance\camp\underworld\nico_umbrella_drinks.spn_p,dyn\alliance\camp\underworld\nico_umbrella_drinks.dyn
spn\alliance\conflicting_priorities\war_table.spn_p,dyn\alliance\conflicting_priorities\war_table.dyn
spn\alliance\digging_deeper\mk2_landed.spn_p,dyn\exp\04\elom_digsite\mk2_landed.dyn
spn\alliance\digging_deeper\scene_4_forcefield.spn_p,dyn\alliance\digging_deeper\scene_4_forcefield.dyn
spn\alliance\digging_deeper\scene_4_panel.spn_p,dyn\alliance\digging_deeper\scene_4_panel.dyn
spn\alliance\hoth\blizz\contact_blizz_holo.spn_p,art\static\area\all_all\item\tech\all_item_tech_field_projector.gr2
spn\alliance\hoth\blizz\dest_explosive_ugnaught.spn_p,dyn\alliance\hoth\blizz\dest_explosive_ugnaught_barrel.dyn
spn\alliance\hoth\blizz\icy_sand_crawler.spn_p,dyn\alliance\hoth\blizz\white_sand_crawler.dyn
spn\alliance\hoth\blizz\little_box.spn_p,art\static\area\all_all\item\tech\all_item_tech_small_holoprojector.gr2
spn\alliance\hoth\blizz\objects\dest_exploding_generator.spn_p,dyn\alliance\hoth\blizz\dest_exploding_generator.dyn
spn\alliance\hoth\blizz\objects\jawa_beacon.spn_p,dyn\alliance\hoth\blizz\jawa_summon.dyn
spn\alliance\hoth\blizz\preeti_datapad.spn_p,dyn\flashpoint\manaan\shared\sign_shipping_manifest.dyn
spn\alliance\hoth\blizz\salvage_pile_1.spn_p,dyn\alliance\hoth\blizz\salvage_pile_1.dyn
spn\alliance\hoth\blizz\ugnaught_camp.spn_p,art\static\area\hth_hoth\arch\hth_arch_camp_tent.gr2
spn\alliance\hoth\qyzen\scout_reports.spn_p,dyn\flashpoint\manaan\shared\sign_shipping_manifest.dyn
spn\alliance\ilum\xalek\shaft_12_datapad.spn_p,dyn\flashpoint\manaan\shared\sign_shipping_manifest.dyn
spn\alliance\ilum\xalek\shaft_12_entrance.spn_p,dyn\alliance\ilum\xalek\shaft_12_usable_surface.dyn
spn\alliance\ilum\xalek\shaft_16_camp_holocom.spn_p,dyn\alliance\ilum\xalek\camp_holocom.dyn
spn\alliance\ilum\xalek\shaft_16_datapad.spn_p,dyn\flashpoint\manaan\shared\sign_shipping_manifest.dyn
spn\alliance\mtx\level_boost\boost_panel.spn_p,dyn\generic\tech\controlpanel_wall_02.dyn
spn\alliance\nar_shaddaa\guss\apartment_door.spn_p,art\static\area\nar_narshadda\arch\city\nar_arch_city_ext_bwall_a_door_small.gr2
spn\alliance\nar_shaddaa\guss\shop_1_door.spn_p,dyn\alliance\nar_shaddaa\shop_door.dyn
spn\alliance\nar_shaddaa\guss\shop_1_door_rep.spn_p,dyn\alliance\nar_shaddaa\shop_door.dyn
spn\alliance\nar_shaddaa\guss\shop_2_door.spn_p,dyn\alliance\nar_shaddaa\shop_door.dyn
spn\alliance\nar_shaddaa\guss\shop_2_door_rep.spn_p,dyn\alliance\nar_shaddaa\shop_door.dyn
spn\alliance\nar_shaddaa\guss\shop_3_door.spn_p,dyn\alliance\nar_shaddaa\shop_door.dyn
spn\alliance\nar_shaddaa\guss\shop_3_door_rep.spn_p,dyn\alliance\nar_shaddaa\shop_door.dyn
spn\alliance\nar_shaddaa\misc\public_taxi_plc.spn_p,art\static\vehicle\neutral\speeder\veh_neu_taxi_air_speeder.gr2
spn\alliance\nar_shaddaa\rusk_and_skadge\illicit_goods.spn_p,dyn\generic\containers\republic_crate2.dyn
spn\alliance\nar_shaddaa\rusk_and_skadge\wonkavator.spn_p,dyn\generic\wonkavator\wonkavator_spaceport_horizontal.dyn
spn\alliance\nar_shaddaa\rusk_and_skadge\wonkavator_bottom.spn_p,dyn\generic\wonkavator\wonkavator_spaceport_horizontal.dyn
spn\alliance\nar_shaddaa\zenith\dead_drop_location.spn_p,art\static\area\all_all\item\tech\all_item_tech_neu_phonebooth.gr2
spn\alliance\nar_shaddaa\zenith\dead_drop_location_2.spn_p,art\static\area\all_all\item\tech\all_item_tech_neu_phonebooth.gr2
spn\alliance\nar_shaddaa\zenith\dead_drop_location_3.spn_p,art\static\area\all_all\item\tech\all_item_tech_neu_phonebooth.gr2
spn\alliance\nar_shaddaa\zenith\dead_drop_location_4.spn_p,art\static\area\all_all\item\tech\all_item_tech_neu_phonebooth.gr2
spn\alliance\nar_shaddaa\zenith\star_fortress_console.spn_p,dyn\alliance\nar_shaddaa\zenith\star_fortress_console.dyn
spn\alliance\nar_shaddaa\zenith\zenith_holo_terminal.spn_p,art\static\area\all_all\item\underworld\all_item_und_wall_computer.gr2
spn\alliance\patriot_traitor\deployable_probe_imp.spn_p,dyn\alliance\patriot_traitor\deployable_probe.dyn
spn\alliance\patriot_traitor\deployable_probe_rep.spn_p,dyn\alliance\patriot_traitor\deployable_probe.dyn
spn\alliance\patriot_traitor\dispensed_probe_state_machine.spn_p,dyn\alliance\patriot_traitor\dispensed_probe_state_machine.dyn
spn\alliance\pinnacles_of_power\imperial\arrival_cantina.spn_p,dyn\alliance\pinnacles_of_power\imperial\tour_arrival_point.dyn
spn\alliance\pinnacles_of_power\imperial\arrival_enclave.spn_p,dyn\alliance\pinnacles_of_power\imperial\tour_arrival_point.dyn
